date,surveyor,site_name,start_time,end_time,min_survey,dive_time,depth_m,lf_count,relief_m,hab_class,hab_type,hab_description,comments
4.20.2023,TY,Lukes Arrow Crab ,10:55,11:03,8,17:00,34.4,3,0.7,AR,artificial reef,artifical reef wreck,"GT did not open, line was caught on rebar, MLT top was open on the bottom, GT opened and MLT was closed, goliath grouper on wreck"
4.20.2023,TY,Spaceship ,11:52,12:01,9,23:00,39.1,0,0.6,LRHB,low-relief hard bottom,"sandy hard bottom, low-relief hard bottom","GT did not open, during survey Tony found a reef, no current, 95' visbility, traps are approximately 50' from reef"
4.20.2023,TY,Engine ,13:00,13:08,8,24:00:00,33.8,6,1.6,AR,artificial reef,artifical reef engine,GT opened
4.23.2023,JT,Drop Deep ,10:07,10:16,9,27:19:00,35.7,8,0.3,LRHB,low-relief hard bottom,low-relief hard bottom,"GT opened on sand, sand with circular hard bottom corals, GT 20' away from structure, MLT 50' away from structure"
4.23.2023,JT,Alligator East ,11:18,11:23,5,19:10,31.7,0,0,LRHB,low-relief hard bottom,sandy hard bottom,"GT opened in smokin current, site is about 200' from known edge of Alligator Reef, strong current"
4.23.2023,JT,Alligator West ,13:46,13:52,6,17:40,32.1,0,0.3,LRHB,low-relief hard bottom,"sandy, patchy hard bottom","GT opened, sandy with patchy reef (chunks of rock and hard corals), grey angelfish, eels, swam approximatly two minutes away from traps looking for a ledge that Luke said had hard bottom ledge with big cracks, goal was to deploy near that area"
4.23.2023,JT,Coral Drop ,15:02,15:13,11,22:24,31.1,18,2.4,MRR,medium-relief reef,"patchy hard bottom, rocky outcrops","MLT perfectly sitting near some coral heads in the sand, GT opened in sand near reef, ledge that went from 60' to 100' (traps sitting at the bottom of the ledge in 100'+ of water), goliath groupers, big school of parrotfish"
4.26.2023,LR,105 Reef ,10:28,10:33,5,17:19,30.8,8,1.8,MRR,medium-relief reef,patch reef,"GT opened, traps about 200' from reef edge, but are surrounded by patch reef"
4.26.2023,JT,Tims Mutton West ,12:18,12:23,5,19:12,35.9,4,1.8,MRR,medium-relief reef,patch reef,GT opened
4.26.2023,LR,Tims Mutton East ,12:16,12:21,5,17:00,32.9,2,2.4,MRR,medium-relief reef,"rocky outcrop, medium-profile reef","GT did not open, 60' of visibility, trap was hard to open on the bottom, lionfish located other on coral bommie"
4.26.2023,JT,The Crane ,,,,,35.7,,,AR,artificial reef,artificial reef metal,"No survey completed do to absolutely ripping current, 80' of visibility, subsurface floats were located at 85' "
5.8.2023,TY,Lots Lions,9:11,9:21,10,27:00:00,30.7,0,0.6,LRHB,low-relief hard bottom,"low-relief hard bottom, sandy","GT opened, strong NE current on the surface, traps about 80' from reef line, sandy hard bottom"
5.8.2023,LR,Jawfish Spawn,9:59,10:09,10,19:19,36.5,0,0,LRHB,low-relief hard bottom,"low-relief hard bottom, sandy","GT did not open, many yellowheaded jawfish on the bottom"
5.8.2023,TY,Grey Spot,10:43,10:51,8,24:30:00,34.4,0,0,MRR,medium-relief reef,"low-relief hard bottom, sandy","GT opened, E current, algae and sandy hard bottom, 2 grey angelfish swimming around the trap, maybe there is reef nearby? "
5.8.2023,LR,Big Head Todd,11:31,11:41,10,27:45:00,33.8,7,0.9,MRR,medium-relief reef,patchy hard bottom,"GT opened, E current, groupers, snappers, lionfish hanging out on coral bommies"
5.11.2023,TY,Off Day West,13:23,13:31,7,24:15:00,39.6,0,0,LRHB,low-relief hard bottom,"low-relief hard bottom, sandy","GT opened, coral heads on the edge of deep reef ledfe, traps about 20' fronm ledge"
5.11.2023,LR,Off Day East ,12:45,12:52,7,20:45,35.9,5,1.5,MRR,medium-relief reef,patchy hard bottom,"GT opened, slight NE current, sandy bottom in some areas"
5.11.2023,TY,Teddy Black ,13:54,14:01,7,22:10,33.2,0,1.2,MRR,medium-relief reef,patchy hard bottom,"GT opened, beautiful reef ledge, small coral heads in the sand, no baitfish, 100'+ visibility, traps about 30-40' from reef ledge"
5.11.2023,LR,Mystery Ledge ,14:23,14:31,8,21:20,36.2,0,0.9,LRHB,low-relief hard bottom,low-relief spur and groove ,"GT opened, traps about 40' from ledge, small goliath groupers, big porgies "
5.14.2023,LR,Deep Pickles West ,11:28,11:34,7,20:49,39.6,2,0.9,LRHB,low-relief hard bottom,patchy low-relief hard bottom,"GT partially opened, GT landed in reef, strong current, subsurface floats located at 80' "
5.14.2023,LR,Deep Pickles East ,12:34,12:41,6,23:15,36.3,0,0.6,LRHB,low-relief hard bottom,patchy low-relief hard bottom,"GT opened in sand bottom, MLT in reef, patchy coral heads"
5.14.2023,LR,Staceyfish ,13:52,14:00,8,22:44,39.6,0,0,LRHB,low-relief hard bottom,low-relief hard bottom,"GT did not open landed on reef, NNE current, warm pockets and thermoclines on the bottom, perfect site for lionfish, but surprised at why there aren't more lions?!"
5.14.2023,LR,Cold Pickles ,15:07,15:14,7,18:15,38.4,1,1,LRHB,low-relief hard bottom,low-relief hard bottom,"GT did not open landed on reef, cold dive, current smoking in mid-water, traps landed next to lionfish on drop "
5.31.2023,JV,Pats Big One,9:13,9:21,8,21:00,32.9,7,3,MRR,medium-relief reef,rocky outcrop,"GT landed in the sand off the reed - opened, MLT next to reef, coral caves, set of derelict lobster traps found off reef"
5.31.2023,LR,Sand Coral,9:57,10:05,8,23:25,34.4,4,1.8,MRR,medium-relief reef,rocky outcrop ,"traps 40'+ apart from each other, GT open 20' from reef, lobster trap debris off reef, friendly fish, lionfish near traps. 84 degrees on bottom, 50' viz"
5.31.2023,JV,Big Rocks,10:40,10:52,12,27:00:00,34.7,16,1.8,MRR,medium-relief reef,rocky outcrop,"GT kind of deployed, had to push down to finish opening all the way, nice mutton snapper, lots of lions - especially on the edge of reef swimming away from coral heads, black grouper"
5.31.2023,LR,Weird Reef,11:27,11:33,6,26:00:00,32.6,0,1.8,MRR,medium-relief reef,low-relief spur and groove ,"GT and MLT deployed on reef, GT opened, seemed to be more in shore than other sites during the day"
