trap_type,dep_date,dep_time,ret_date,ret_time,tag_num,trap_num,cam_num,pot_light,sound_trap,site_name,site_ID,site_GPS,site_depth,site_description,dist_btwn_traps,surveyed,surv_time,site_rel,lf_num_surv,lf_permin_surv,surveyor,gt_open_dep,gt_open_soak,lf_catch_num,lf_size,lf_near_trap,lf_esc,bycatch_num,bycatch_desc,bycatch_size,comments_dep,comments_ret,cam_recorded,cam_final_day,comment_vid,recr_time_to_first_lf,max_lf_MLTt_vid,max_lf_vid,time_stamp_sound_trap,sound_trap_file_range,vid_summary,notable_spp_vid
MLT,4.10.2023,11:18am,4.13.2023,10:29am,13,L4,GB DW,no,no,Key Largo Site #2,KL2,"N 24°58.7965', W 080°23.9974'",46.3,low-relief hard bottom,20.4,yes,6,0.6,3,0.5,LR,N/A,N/A,0,0,0,0,0,0,0,,,Yes,3,,,,,N/A,N/A,,
GT,4.10.2023,11:48am,4.13.2023,10:59am,2,G2,GoPro 5,no,no,Key Largo Site #3,KL3,"N 24°58.8366', W 080°23.9099'",46.6,low-relief hard bottom,6.4,yes,6,0.5,1,0.17,TY,*Closed,*Open,0,0,0,0,0,0,0,"GT did not open, GT opened by surveyers, NE current, big shark, not much bait on the bottom, no strong relief, lots of low-profile coral heads, 130' visibility","First bycatch caught in trap, hogifish was released back into the water and swam back down, retrieved the trap using lift bags,",Yes,1,,,,,N/A,N/A,,
MLT,4.10.2023,11:49am ,4.13.2023,11:01am,11,L2,GoPro 3,no,no,Key Largo Site #3,KL3,"N 24°58.8336', W 080°23.9118'",46.6,low-relief hard bottom,6.4,yes,6,0.5,1,0.17,TY,N/A,N/A,0,0,0,0,1,"Hogfish, 1",400,,,Yes,2,,,,,N/A,N/A,,
GT,4.16.2023,8:43am,4.19.2023,9:00am,1,G1,GB 1 (JB),yes,no,BL Sailboat ,BLS,"N 24°47.2532', W 080°41.1466'",39.6,artificial reef wreck,6.7,yes,3,0.9,10,3.33,TY,*Closed,*Open,0,0,No Drop Camera,No Drop Camera,0,0,0,"GT 20' from structure, MLTT 35' from structure, GT did not open, opened during dive, no current, good bait on wreck, 85' visibility, sawfish and sharks up against wreck, so could not survey under side, probably 8-10 more lionfish under the wreck, artificial wreck is about 20' long, GT and MLTT were placed on either side of the AF in the sand","Tomtates were swimming out of trap when trap was being pulled to the surface, asssume that we would have had more bycatch depending on how fast the trap came to the surface, measured Tomtates and threw back into the water as quickly as possible, drop camera struggled to get down the line ",Yes,3,,,,,N/A,N/A,,
MLT,4.16.2023,8:44am,4.19.2023,9:05am,10,L1,GoPro 4,yes,no,BL Sailboat ,BLS,"N 24°47.2554', W 080°41.1492'",39.6,artificial reef wreck,6.7,yes,3,0.9,10,3.33,TY,N/A,N/A,0,0,0,0,17,"Tomtate, 17","140, 122, 137, 130, 133, 147, 152, 165, 143, 140, 126, 152, 110, 134, 139, 140, 120",,,Yes,3,,,,,N/A,N/A,,Goliath Grouper (GOPR7975)
GT,4.16.2023,9:45am,4.19.2023,9:38am,3,G3,GB 2 (HC),no,no,134 FAD,134F,"N 24°45.9978', W 080°42.5332'",39.1,artificial reef rectangle,12.2,yes,5,0.9,2,0.4,TY,*Closed,*Open,0,0,0,0,0,0,0,"GT 30' from structure, MLTT 10' from structure, GT did not open, opened during dive, 57' visbility, goliath grouper on trap, 20' horizontal visibiliy",,Yes,3,,,,,N/A,N/A,,
MLT,4.16.2023,9:46am,4.19.2023,9:34am,12,L3,GoPro 1,no,no,134 FAD,134F,"N 24°45.9996', W 080°42.5401'",39.1,artificial reef rectangle,12.2,yes,5,0.9,2,0.4,TY,N/A,N/A,0,0,0,0,0,0,0,,,Yes,2,,,,,N/A,N/A,,"Goliath Grouper (GOPR5779, GOPR5785, GOPR5786, GOPR5787, GOPR5788, GOPR5814)"
GT,4.16.2023,11:05am,4.19.2023,10:10am,2,G2,GB 3 (HC) ,yes,no,Sahara ,SA,"N 24°44.6371', W 080°45.8371'",33.5,sandy hard bottom,8.2,yes,7,0,1,0.14,TY,*Open,*Open,0,0,0,0,0,0,0,"Delerlict lobster trap found on dive, GT opened, slight E current, sand dive, sand tile fish everywhere, 25-30' on visbility, thermocline at 100'","Caught a lionfish!, the site where the lionfish was caught was in sand, not near other habitat, discussed deploying more traps in sandy areas or on some unkown sandy area sites ",Yes,1,,,,,N/A,N/A,,
MLT,4.16.2023,11:06am,4.19.2023,10:15am,11,L2,GoPro 2,yes,yes,Sahara,SA,"N 24°44.6406', W 080°45.8400'",33.5,sandy hard bottom,8.2,yes,7,0,1,0.14,TY,N/A,N/A,1,233,1,0,0,0,0,,,Yes,2,"Lionfish arrives at 48 hr, enters trap at 49 hr",48 hr,1,1,[11 am (4/18) - 10 am (4/19)],671383588.230418 to 671383588.230419071653,"Camera lasted until evening of 18th, only sees one corner of the trap",
GT,4.16.2023,12:26am,4.19.2023,10:50am,4,G4,GoPro 5,no,no,Ghost Lobster,GL,"N 24°43.3980', W 080°46.9925'",43.9,sandy hard bottom,10.4,yes,7,0,0,0,TY,*Closed,*Open,0,0,0,0,0,0,0,"GT did not open, opened during dive, E current, found ghost traps loaded with fish, 60' visibility, sand dive, algae covering the bottom",,Yes,3,,,,,N/A,N/A,,
MLT,4.16.2023,12:27am,4.19.2023,10:55am,13,L4,GB DW,no,no,Ghost Lobster,GL,"N 24°43.3953', W 080°46.9977'",43.9,sandy hard bottom,10.4,yes,7,0,0,0,TY,N/A,N/A,0,0,0,0,1,"Tomtate, 1",93,,,Yes,3,,,,,N/A,N/A,,
GT,4.20.2023,9:55am,4.23.2023,12:02pm,2,G2,GB 3 (HC) ,yes,no,In Between Cannabis and GL ,CGL,"N 24°49.4299', W 080°38.4749'",37.1,sandy hard bottom,20.1,yes,5,0,0,0,TY,Open,Open,0,0,0,0,0,0,0,"GT opened, extended the surface line to try to make trap open and it seemed to work, slight NE curnt, 82' of visibility, Lex and Moose dove to adjust floats down to depth for retrieval","Strong current when using drop camera, first time pulling up traps after not shortening the line until after the deployment, worked out well, trying to figure out different knots to shorten trap line at depth",Yes,2,,,,,N/A,N/A,,
MLT,4.20.2023,9:56am,4.23.2023,12:05pm,11,L2,GoPro 1,yes,no,In Between Cannabis and GL ,CGL,"N 24°49.4294', W 080°38.4868'",37.1,sandy hard bottom,20.1,yes,5,0,0,0,TY,N/A,N/A,0,0,0,0,0,0,0,,,Yes,3,,,,,N/A,N/A,,
GT,4.20.2023,10:51am,4.23.2023,8:56am,4,G4,GB 1 (JB),no,no,Luke's Arrow Crab,LAC,"N 24°49.2568', W 080°38.7436'",34.4,artifical reef wreck,28,yes,8,0.7,3,0.38,TY,Closed,Open,0,0,0,0,0,0,0,"GT did not open, line was caught on rebar, MLTT top was open on the bottom, GT opened and MLTT was closed, goliath grouper on wreck, Lex and Moose dove to adjust floats down to depth for retrieval","Drop camera on MLTT did not go down trap line all the way, drop camera hit the edge of the boat when being pulled off and popped off line, Luke and Jeff did a dive to recover the camera and found camera in the sand",Yes,3,,,,,N/A,N/A,,"Goliath Grouper (2023_0420_180233_010, 2023_0421_065824_023, 2023_0421_075804_024, 2023_0421_085745_025, 2023_0421_095725_026, 2023_0421_105705_027 - 2023_0421_125624_029, 2023_0421_145543_031, 2023_0421_165502_033, 2023_0421_175442_034, 2023_0421_195402_036, 2023_0422_065029_047 - 2023_0422_174655_058) "
MLT,4.20.2023,10:53am,4.23.2023,8:40am,13,L4,GB DW,no,no,Luke's Arrow Crab ,LAC,"N 24°49.2486', W 080°38.7577'",34.4,artifical reef wreck,28,yes,8,0.7,3,0.38,TY,N/A,N/A,0,0,Camera did not reach bottom,Camera did not reach bottom,13,"Tomtate, 13","158, 118, 122, 117, 114, 117, 116, 114, 112, 121, 122, 93, 100",,,Yes,3,,,,,N/A,N/A,,Goliath Grouper (GOPR1399) 
GT,4.20.2023,11:46am,4.23.2023,9:27am,3,G3,GB 2 (HC),yes,no,Spaceship ,SS,"N 24°49.0840', W 080°38.6966'",39.1,"sandy hard bottom, low-relief hard bottom",13.7,yes,9,0.6,0,0,TY,Closed,Open,0,0,0,0,0,0,0,"GT did not open, opened during deployment, during survey Tony found a reef, no current, 95' visbility, traps are approximately 50' from reef, Lex and Moose dove to adjust floats down to depth for retrieval",Strong current when using drop camera,Yes,3,,,,,N/A,N/A,,
MLT,4.20.2023,11:46am,4.23.2023,9:30am,12,L3,GoPro 4,yes,yes,Spaceship ,SS,"N 24°49.0880', W 080°38.7034'",39.1,"sandy hard bottom, low-relief hard bottom",13.7,yes,9,0.6,0,0,TY,N/A,N/A,0,0,0,0,0,0,0,,,Yes,3,"No lionfish. Sharpnose puffer, hogfish, grey angelfish, smooth trunkfish in and around trap",N/A,0,0,N/A,N/A,"Camera lasted entire deployment, good view of entire trap",
GT,4.20.2023,12:58pm,4.23.2023,12:54pm,1,G1,GoPro 2,no,no,Engine ,EG,"N 24°49.4492', W 080°38.5606'",33.8,artifical reef engine,26.8,yes,8,1.6,6,0.75,TY,Open,Open,0,0,0,0,0,0,0,GT opened,"Curved foot  on the GT caught on the artificial reef when waiting to be pulled onboard, Jeff and Luke dove down and pulled foot off artificial reef, Luke took a video of the trap being retreived and brought up",No,Never Recorded,,,,,N/A,N/A,,
MLT,4.20.2023,12:59pm,4.23.2023,12:38pm,10,L1,GoPro 5,no,no,Engine ,EG,"N 24°49.4409', W 080°38.5737'",33.8,artifical reef engine,26.8,yes,8,1.6,6,0.75,TY,N/A,N/A,0,0,0,0,0,0,0,,,Yes,3,,,,,N/A,N/A,,
GT,4.23.2023,10:00am,4.26.2023,9:59am,3,G3,GB 2 (HC),yes,no,Drop Deep ,DD,"N 24°51.6026', W 080°34.9736'",35.7,low-relief hard bottom,21,yes,9,0.3,8,0.89,JT,Open,Open,0,0,0,0,0,0,0,"GT opened on sand, sand with circular hard bottom corals, GT 20' away from structure, MLTT 50' away from structure",,Yes,3,,,,,N/A,N/A,,
MLT,4.23.2023,10:01am,4.26.2023,10:02am,12,L3,GoPro 4,yes,yes,Drop Deep ,DD,"N 24°51.6073', W 080°34.9622'",35.7,low-relief hard bottom,21,yes,9,0.3,8,0.89,JT,N/A,N/A,0,0,0,0,1,"Hogfish, 1",437,,,Yes,3,"No lionfish. Sharpnose puffer, hogfish, grey angelfish, porkfish in and around trap",N/A,0,0,N/A,N/A,"Camera lasted entire deployment, good view of most of trap",
GT,4.23.2023,11:09am,4.26.2023,9:30am,4,G4,GB 1 (JB),no,no,Alligator East ,AE,"N 24°50.7415', W 080°36.6058'",31.7,sandy hard bottom,7.1,yes,5,0,0,0,JT,Open,Open,0,0,0,0,0,0,0,"GT opened in smokin current, site is about 200' from known edge of Alligator Reef, strong current",,Yes,3,,,,,N/A,N/A,,
MLT,4.23.2023,11:10am,4.26.2023,9:28am,13,L4,GB DW,no,no,Alligator East ,AE,"N 24°50.7437', W 080°36.6090'",31.7,sandy hard bottom,7.1,yes,5,0,0,0,JT,N/A,N/A,0,0,0,0,0,0,0,,,Yes,3,,,,,N/A,N/A,,
GT,4.23.2023,1:30pm,4.26.2023,9:06am,1,G1,GoPro 5,no,no,Alligator West ,AW,"N 24°50.4839', W 080°37.0613'",32.1,"sandy, patchy hard bottom",11.8,yes,6,0.3,0,0,JT,Open,Open,0,0,0,0,0,0,,"GT opened, sandy with patchy reef (chunks of rock and hard corals), grey angelfish, eels, swam approximatly two minutes away from traps looking for a ledge that Luke said had hard bottom ledge with big cracks, goal was to deploy near that area",,Yes,3,,,,,N/A,N/A,,
MLT,4.23.2023,1:31pm,4.26.2023,8:58am,10,L1,GoPro 2,no,no,Alligator West ,AW,"N 24°50.4780', W 080°37.0636'",32.1,"sandy, patchy hard bottom",11.8,yes,6,0.3,0,0,JT,N/A,N/A,0,0,0,0,2,"Trumpetfish, 1, Planehead Filefish, 1 ","440 (Trumpetfish), 110 (Planehead Filefish) ",,,Yes,3,,,,,N/A,N/A,,
GT,4.23.2023,2:42pm,4.26.2023,10:30am,2,G2,GB 3 (HC),yes,no,Coral Drop ,CD,"N 24°51.6814', W 080°35.0879'",31.1,"patchy hard bottom, rocky outcrops",22.5,yes,11,2.4,18,1.64,JT,Open,Open,0,0,0,0,0,0,0,"MLTT perfectly sitting near some coral heads in the sand, GT opened in sand near reef, ledge that went from 60' to 100' (traps sitting at the bottom of the ledge in 100'+ of water), goliath groupers, big school of parrotfish",,No,Never Recorded,,,,,N/A,N/A,,
MLT,4.23.2023,2:46pm,4.26.2023,10:28am,11,L2,GoPro 1,yes,no,Coral Drop ,CD,"N 24°51.7040', W 080°35.0575'",31.1,"patchy hard bottom, rocky outcrops",22.5,yes,11,2.4,18,1.64,JT,N/A,N/A,0,0,0,0,0,0,0,,,Yes,3,,,,,N/A,N/A,,
GT,4.26.2023,11:04am,4.29.2023,2:25pm,2,G2,GB 3 (HC) ,yes,no,105 Reef ,105R,"N 24°53.6745', W 080°32.1029'",30.8,patch reef,11.3,yes,5,1.8,8,1.6,LR,Open,Open,0,0,0,0,0,0,0,"GT opened, traps about 200' from reef edge, but are surrounded by patch reef","Charter boat sitting on site, had to anchor up and wait for charter boat to move before going to retrieve the trap, lost visiblity and gained current in comparison to other dives during the day",No,"Never Recorded, GoPro Flooded",,,,,N/A,N/A,,
MLT,4.26.2023,11:07am,4.29.2023,2:28pm,11,L2,GoPro 1,yes,no,105 Reef ,105R,"N 24°53.6730', W 080°32.0964'",30.8,patch reef,11.3,yes,5,1.8,8,1.6,LR,N/A,N/A,0,0,0,0,0,0,0,,,Yes,1,,,,,N/A,N/A,,
GT,4.26.2023,12:40pm,4.29.2023,9:22am,3,G3,GB 2 (HC),yes,no,Tim's Mutton West ,TMW,"N 24°57.8444', W 080°26.0851'",35.9,patch reef,18.8,yes,5,1.8,4,0.8,JT,Open,Open,0,0,0,0,0,0,0,GT opened,,Yes,2,,,,,N/A,N/A,,
MLT,4.26.2023,12:03pm,4.29.2023,9:18am,12,L3,GoPro 2,yes,yes,Tim's Mutton West ,TMW,"N 24°57.8370', W 080°26.0928'",35.9,patch reef,18.8,yes,5,1.8,4,0.8,JT,N/A,N/A,0,0,0,0,0,0,0,,,Yes,3,No lionfish. Sharpnose puffer in and around trap,N/A,0,0,N/A,N/A,"Camera lasted entire deployment, good view of most of trap",
GT,4.26.2023,12:53pm,4.29.2023,11:08am,4,G4,GB 1 (JB),no,no,Tim's Mutton East ,TME,"N 24°57.9938', W 080°25.7593'",32.9,"rocky outcrop, medium-profile reef",23.7,yes,5,2.4,2,0.4,LR,Closed,Open,0,0,0,0,0,0,0,"GT did not open, 60' of visibility, trap was hard to open on the bottom, lionfish located other on coral bommie",,Yes,3,,,,,N/A,N/A,,
MLT,4.26.2023,12:55pm,4.29.2023,11:11am,13,L4,GB DW,no,no,Tim's Mutton East ,TME,"N 24°58.0067', W 080°25.7572'",32.9,"rocky outcrop, medium-profile reef",23.7,yes,5,2.4,2,0.4,LR,N/A,N/A,0,0,0,0,0,0,0,,,No,"Never Recorded Outside Trap, One Video Inside Trap",,,,,N/A,N/A,,
GT,4.26.2023,1:37pm,4.29.2023,10:22am,1,G1,GoPro 4,no,no,The Crane ,TC,"N 24°59.2286', W 080°22.4162'",35.7,artificial reef metal,20.1,no,,,,,JT,Open,Open,0,0,0,0,0,0,0,"No survey completed do to absolutely ripping current, 80' of visibility, subsurface floats were located at 85' ","Do to high amount of current when deploying, went to this site on high slack tide, squished hogfish swim bladders to get them to go down, one hogfish did not swim back down",Yes,3,,,,,N/A,N/A,,
MLT,4.26.2023,1:39pm,4.29.2023,10:29am,10,L1,GoPro 5,no,no,The Crane ,TC,"N 24°59.2368', W 080°22.4082'",35.7,artificial reef metal,20.1,no,,,,,JT,N/A,N/A,0,0,0,0,4,"Hogfish, 4","300, 330, 415, 502",,,Yes,3,,,,,N/A,N/A,,Green Sea Turtle (GOPR5915)
GT,5.8.2023,9:00am,5.11.2023,10:57am,2,G2,GB 2 (HC),yes,no,Lots Lions,LL,"N 24°44.4777', W 080°46.3781'",30.7,"low-relief hard bottom, sandy",24.4,yes,10,0.6,0,0,TY,Open,Open,0,0,0,0,0,0,0,"GT opened, strong NE current on the surface, traps about 80' from reef line, sandy hard bottom",,Yes,3,,,,,N/A,N/A,,
MLT,5.8.2023,9:04am,5.11.2023,11:04am,11,L2,GoPro 5,yes,yes,Lots Lions,LL,"N 24°44.4894', W 080°46.3710'",30.7,"low-relief hard bottom, sandy",24.4,yes,10,0.6,0,0,TY,N/A,N/A,0,0,0,0,0,0,0,,,Yes,3,"No lionfish. Sharpnose puffer, grey angelfish, jolthead porgy in and around trap",N/A,0,0,N/A,N/A,"Camera lasted entire deployment, good view of most of trap",
GT,5.8.2023,9:53am,5.11.2023,9:22am,4,G4,GoPro 1,no,no,Jawfish Spawn,JS,"N 24°43.7870', W 080°47.1720'",36.5,"low-relief hard bottom, sandy",20.7,yes,10,0,0,0,LR,Closed,Open,0,0,0,0,0,0,0,"GT did not open, many yellowheaded jawfish on the bottom",,Yes,0,,,,,N/A,N/A,,
