"site_name","date","surveyor","start_time","end_time","min_survey","dive_time","depth_m","lf_count","relief_m","hab_type","hab_description","comments","site_id","lat_dd","long_dd"
"Engine ","4.20.2023","TY","13:00","13:08",8,"24:00:00",33.8,6,1.6,"medium-relief reef","artifical reef engine","GT opened","EG",24.8241533333333,-80.6426766666667
"In Between Cannabis and GL ","4.20.2023","TY","10:01","10:06",5,"15:00",37.1,0,0,"low-relief hard bottom","sandy hard bottom","GT opened, extended the surface line to try to make trap open and it seemed to work, slight NE curnt, 82' of visibility","CGL",24.8238316666667,-80.6412483333333
"Lukes Arrow Crab ","4.20.2023","TY","10:55","11:03",8,"17:00",34.4,3,0.7,"low-relief hard bottom","artifical reef wreck","GT did not open, line was caught on rebar, MLT top was open on the bottom, GT opened and MLT was closed, goliath grouper on wreck","LAC",24.82081,-80.6459616666667
"Spaceship ","4.20.2023","TY","11:52","12:01",9,"23:00",39.1,0,0.6,"medium-relief reef","sandy hard bottom, low-relief hard bottom","GT did not open, during survey Tony found a reef, no current, 95' visbility, traps are approximately 50' from reef","SS",24.8180666666667,-80.6449433333333
"Alligator East ","4.23.2023","JT","11:18","11:23",5,"19:10",31.7,0,0,"artificial reef","sandy hard bottom","GT opened in smokin current, site is about 200' from known edge of Alligator Reef, strong current","AE",24.8456916666667,-80.6100966666667
"Alligator West ","4.23.2023","JT","13:46","13:52",6,"17:40",32.1,0,0.3,"medium-relief reef","sandy, patchy hard bottom","GT opened, sandy with patchy reef (chunks of rock and hard corals), grey angelfish, eels, swam approximatly two minutes away from traps looking for a ledge that Luke said had hard bottom ledge with big cracks, goal was to deploy near that area","AW",24.8413,-80.6177266666667
"Coral Drop ","4.23.2023","JT","15:02","15:13",11,"22:24",31.1,18,2.4,"medium-relief reef","patchy hard bottom, rocky outcrops","MLT perfectly sitting near some coral heads in the sand, GT opened in sand near reef, ledge that went from 60' to 100' (traps sitting at the bottom of the ledge in 100'+ of water), goliath groupers, big school of parrotfish","CD",24.8613566666667,-80.5847983333333
"Drop Deep ","4.23.2023","JT","10:07","10:16",9,"27:19:00",35.7,8,0.3,"medium-relief reef","low-relief hard bottom","GT opened on sand, sand with circular hard bottom corals, GT 20' away from structure, MLT 50' away from structure","DD",24.8600433333333,-80.5828933333333
"105 Reef ","4.26.2023","LR","10:28","10:33",5,"17:19",30.8,8,1.8,"low-relief hard bottom","patch reef","GT opened, traps about 200' from reef edge, but are surrounded by patch reef","105R",24.894575,-80.5350483333333
"The Crane ","4.26.2023","JT","","",NA,"",35.7,NA,NA,"low-relief hard bottom","artificial reef metal","No survey completed do to absolutely ripping current, 80' of visibility, subsurface floats were located at 85' ","TC",24.9871433333333,-80.3736033333333
"Tims Mutton East ","4.26.2023","LR","12:16","12:21",5,"17:00",32.9,2,2.4,"low-relief hard bottom","rocky outcrop, medium-profile reef","GT did not open, 60' of visibility, trap was hard to open on the bottom, lionfish located other on coral bommie","TME",24.9667783333333,-80.4292866666667
"Tims Mutton West","4.26.2023","JT","12:18","12:23",5,"19:12",35.9,4,1.8,"medium-relief reef","patch reef","GT opened","TMW",24.9640733333333,-80.4347516666667
"Grocery Ledge West","4.4.2023","N/A","","",NA,"",42.7,NA,NA,"low-relief hard bottom","low-relief hard bottom","No survey, did not have enough FY crew to do a survey dive","GLW",24.8159183333333,-80.6436833333333
"124 Reef","4.7.2023","TY","11:46","11:58",12,"22:37",37.7,6,1.8,"artificial reef","patchy hard bottom","GT did not fully open, traps surrounded by coral bommies, survey to each of the traps, very little baitfish, lionfish were not near bait, they were all by themselves, ","124R",24.9331816666667,-80.4736983333333
"Billy Wishes","4.7.2023","TY","9:07","9:16",9,"22:03",40.5,10,0.7,"low-relief hard bottom","patchy hard bottom","GT landed on the reef and did not open, 120' of visibility, mild W current, low amounts of baitfish, lionfish were located together, not on bait, surveyed into the current for the most part","BW",24.8173166666667,-80.6440166666667
"Higher ","4.7.2023","TY","7:53","8:01",8,"20:17",42.9,21,0.9,"low-relief hard bottom","patchy hard bottom","GT did not open, traps landed 20' offfshore of reef in sand surrounded by 0.5' of relief, all lionfish found on bait with good amount of relief, very mild W current, 120' visibility, very few other fish on the reef, 79 degree water temp","HI",24.8223466666667,-80.6379166666667
"Mystery Ledge ","5.11.2023","LR","14:23","14:31",8,"21:20",36.2,0,0.9,"low-relief hard bottom","low-relief spur and groove ","GT opened, traps about 40' from ledge, small goliath groupers, big porgies ","ML",24.9110033333333,-80.5044416666667
"Off Day East ","5.11.2023","LR","12:45","12:52",7,"20:45",35.9,5,1.5,"low-relief hard bottom","patchy hard bottom","GT opened, slight NE current, sandy bottom in some areas","ODE",24.9180166666667,-80.4948666666667
"Off Day West","5.11.2023","TY","13:23","13:31",7,"24:15:00",39.6,0,0,"medium-relief reef","low-relief hard bottom, sandy","GT opened, coral heads on the edge of deep reef ledfe, traps about 20' fronm ledge","ODW",24.9197483333333,-80.4907733333333
"Teddy Black ","5.11.2023","TY","13:54","14:01",7,"22:10",33.2,0,1.2,"low-relief hard bottom","patchy hard bottom","GT opened, beautiful reef ledge, small coral heads in the sand, no baitfish, 100'+ visibility, traps about 30-40' from reef ledge","TB",24.9139466666667,-80.4998216666667
"Cold Pickles ","5.14.2023","LR","15:07","15:14",7,"18:15",38.4,1,1,"medium-relief reef","low-relief hard bottom","GT did not open landed on reef, cold dive, current smoking in mid-water, traps landed next to lionfish on drop ","CP",24.9845533333333,-80.4018716666667
"Deep Pickles East ","5.14.2023","LR","12:34","12:41",6,"23:15",36.3,0,0.6,"medium-relief reef","patchy low-relief hard bottom","GT opened in sand bottom, MLT in reef, patchy coral heads","DPE",24.9823383333333,-80.4057783333333
"Deep Pickles West ","5.14.2023","LR","11:28","11:34",7,"20:49",39.6,2,0.9,"medium-relief reef","patchy low-relief hard bottom","GT partially opened, GT landed in reef, strong current, subsurface floats located at 80' ","DPW",24.9789266666667,-80.4087883333333
"Staceyfish ","5.14.2023","LR","13:52","14:00",8,"22:44",39.6,0,0,"medium-relief reef","low-relief hard bottom","GT did not open landed on reef, NNE current, warm pockets and thermoclines on the bottom, perfect site for lionfish, but surprised at why there aren't more lions?!","SFS",24.9828133333333,-80.4039966666667
"Big Rocks","5.31.2023","JV","10:40","10:52",12,"27:00:00",34.7,16,1.8,"low-relief hard bottom","rocky outcrop","GT kind of deployed, had to push down to finish opening all the way, nice mutton snapper, lots of lions - especially on the edge of reef swimming away from coral heads, black grouper","BR",24.6989433333333,-80.8680283333333
"Pats Big One","5.31.2023","JV","9:13","9:21",8,"21:00",32.9,7,3,"low-relief hard bottom","rocky outcrop","GT landed in the sand off the reed - opened, MLT next to reef, coral caves, set of derelict lobster traps found off reef","PBO",24.70766,-80.8467716666667
"Sand Coral","5.31.2023","LR","9:57","10:05",8,"23:25",34.4,4,1.8,"low-relief hard bottom","rocky outcrop ","traps 40'+ apart from each other, GT open 20' from reef, lobster trap debris off reef, friendly fish, lionfish near traps. 84 degrees on bottom, 50' viz","SC",24.7028583333333,-80.8582483333333
"Weird Reef","5.31.2023","LR","11:27","11:33",6,"26:00:00",32.6,0,1.8,"low-relief hard bottom","low-relief spur and groove ","GT and MLT deployed on reef, GT opened, seemed to be more in shore than other sites during the day","WR",24.6968016666667,-80.8744966666667
"Big Head Todd","5.8.2023","LR","11:31","11:41",10,"27:45:00",33.8,7,0.9,"medium-relief reef","patchy hard bottom","GT opened, E current, groupers, snappers, lionfish hanging out on coral bommies","BHT",24.7263566666667,-80.8024416666667
"Grey Spot","5.8.2023","TY","10:43","10:51",8,"24:30:00",34.4,0,0,"low-relief hard bottom","low-relief hard bottom, sandy","GT opened, E current, algae and sandy hard bottom, 2 grey angelfish swimming around the trap, maybe there is reef nearby? ","GS",24.7277983333333,-80.7961283333333
"Jawfish Spawn","5.8.2023","LR","9:59","10:09",10,"19:19",36.5,0,0,"medium-relief reef","low-relief hard bottom, sandy","GT did not open, many yellowheaded jawfish on the bottom","JS",24.7297833333333,-80.7862
"Lots Lions","5.8.2023","TY","9:11","9:21",10,"27:00:00",30.7,0,0.6,"low-relief hard bottom","low-relief hard bottom, sandy","GT opened, strong NE current on the surface, traps about 80' from reef line, sandy hard bottom","LL",24.741295,-80.7729683333333
